product_category_name_english,avg_review_score,avg_order_value,order_count
agro_industry_and_commerce,4.021978021978022,430.6548901098901,182
air_conditioning,4.045267489711934,243.2035802469136,243
art,4.02020202020202,143.38686868686867,198
audio,3.835777126099707,161.97695014662756,341
auto,4.100285788516498,175.3660872954014,3849
baby,4.0571020699500355,169.6796359743041,2802
bed_bath_table,3.9776596898384122,133.3311105086216,9221
books_general_interest,4.468253968253968,110.40156746031747,504
books_imported,4.320754716981132,102.66811320754717,53
books_technical,4.409448818897638,90.21850393700787,254
christmas_supplies,4.048,88.21992,125
cine_photo,4.28125,129.03234375,64
computers,4.174157303370786,1257.6541011235954,178
computers_accessories,4.029794313369631,159.0417770719903,6612
consoles_games,4.075216972034715,164.88313404050143,1037
construction_tools_construction,4.106703146374829,223.63258549931604,731
construction_tools_lights,4.192139737991266,202.97161572052403,229
construction_tools_safety,3.888198757763975,273.70329192546586,161
cool_stuff,4.1830432341381245,199.32623806850086,3562
costruction_tools_garden,4.226315789473684,166.59194736842105,190
costruction_tools_tools,4.425531914893617,188.63425531914893,94
drinks,4.161512027491409,96.17477663230241,291
dvds_blu_ray,4.0701754385964914,127.39859649122808,57
electronics,4.100636435958632,80.04565632458234,2514
fashion_bags_accessories,4.1921611322808925,99.44219923788786,1837
fashion_male_clothing,3.727272727272727,115.86309090909091,110
fashion_shoes,4.214592274678112,119.62214592274678,233
fashion_underwear_beach,3.933333333333333,94.9395,120
fixed_telephony,3.8995215311004783,300.8984210526316,209
food,4.28246013667426,81.06407744874714,439
food_drink,4.383928571428571,88.09517857142858,224
furniture_bedroom,4.136842105263158,261.5397894736842,95
furniture_decor,4.030497592295345,141.91736597110753,6230
furniture_living_room,4.031553398058253,210.13616504854372,412
garden_tools,4.153935521347662,167.03914318907928,3443
health_beauty,4.18794570968484,163.85856337704166,8694
home_appliances,4.164257555847569,124.49876478318002,761
home_appliances_2,4.133620689655173,532.4079310344828,232
home_confort,3.8873994638069704,179.97554959785523,373
home_construction,4.006302521008403,204.5086974789916,476
housewares,4.152140010396812,133.60286952001385,5771
industry_commerce_and_business,4.214912280701754,205.42245614035087,228
kitchen_dining_laundry_garden_furniture,4.06198347107438,239.2614049586777,242
luggage_accessories,4.331378299120234,166.25061583577713,1023
market_place,4.064150943396227,119.7700754716981,265
musical_instruments,4.189014539579968,335.2463166397415,619
office_furniture,3.6278884462151395,269.8788605577689,1255
perfumery,4.208185626812762,143.2075314212053,3103
pet_shop,4.239503252513305,149.22028385570667,1691
signaling_and_security,4.131386861313868,202.3448175182482,137
small_appliances,4.181964573268921,328.95380032206117,621
small_appliances_home_oven_and_coffee,4.293333333333333,669.5522666666667,75
sports_leisure,4.174963877577827,150.29956259030607,7613
stationery,4.255824175824176,121.39895384615384,2275
tablets_printing_image,4.144736842105263,101.99697368421053,76
telephony,4.0113581440309325,94.11945142580956,4138
toys,4.1930238657225285,144.90070810385524,3813
unknown,3.927668539325843,149.4593117977528,1424
watches_gifts,4.066966696669667,232.97708730873086,5555
